,struc_id,resName1,seqNum1,SITE_ID,nuclearity,resName2,seqNum2,resName3,seqNum3,resName4,seqNum4,Set,pdb_name,MAHOMES_match,Enzyme,meta_site
0,1a0e_A,CO,493,1a0e_A_1,1,,,,,,,data,1a0e_A,match,False,1a0e_A_1
1,1a7i_A,ZN,83,1a7i_A_1,1,,,,,,,data,1a7i_A,match,False,1a7i_A_0
2,1aaf_A,ZN,56,1aaf_A_0,1,,,,,,,data,1aaf_A,match,False,1aaf_A_0
3,1aaf_A,ZN,57,1aaf_A_1,1,,,,,,,data,1aaf_A,match,False,1aaf_A_1
4,1af6_A,MG,424,1af6_A_0,1,,,,,,,data,1af6_A,match,False,1af6_A_0
5,1ag0_A,CU,131,1ag0_A_1,1,,,,,,,data,1ag0_A,match,False,1ag0_A_0
6,1ajy_A,ZN,101,1ajy_A_0,2,ZN,102,,,,,data,1ajy_A,match,False,1ajy_A_0
7,1ak0_A,ZN,274,1ak0_A_2,1,,,,,,,data,1ak0_A,match,False,1ak0_A_2
8,1amf_A,MOO,234,1amf_A_0,1,,,,,,,data,1amf_A,match,False,1amf_A_0
9,1aol_A,ZN,430,1aol_A_0,1,,,,,,,data,1aol_A,partial,False,1aol_A_0
10,1aol_A,ZN,431,1aol_A_1,1,,,,,,,data,1aol_A,partial,False,1aol_A_1
11,1ard_A,ZN,1,1ard_A_0,1,,,,,,,data,1ard_A,match,False,1ard_A_0
12,1b0n_A,ZN,1002,1b0n_A_1,1,,,,,,,data,1b0n_A,match,False,1b0n_A_0
13,1b0n_A,ZN,1004,1b0n_A_3,1,,,,,,,data,1b0n_A,match,False,1b0n_A_1
14,1b4e_A,ZN,404,1b4e_A_0,1,,,,,,,data,1b4e_A,match,False,1b4e_A_0
15,1b8c_A,MG,308,1b8c_A_0,1,,,,,,,data,1b8c_A,match,False,1b8c_A_0
16,1b8t_A,ZN,195,1b8t_A_2,1,,,,,,,data,1b8t_A,match,False,1b8t_A_0
17,1b9m_A,NI,263,1b9m_A_0,1,,,,,,,data,1b9m_A,match,False,1b9m_A_0
18,1bk5_B,CO,1,1bk5_B_0,1,,,,,,,data,1bk5_B,match,False,1bk5_B_0
19,1bor_A,ZN,57,1bor_A_0,1,,,,,,,data,1bor_A,match,False,1bor_A_0
20,1bor_A,ZN,58,1bor_A_1,1,,,,,,,data,1bor_A,match,False,1bor_A_1
21,1bt0_A,ZN,202,1bt0_A_1,1,,,,,,,data,1bt0_A,match,False,1bt0_A_0
22,1btg_B,ZN,902,1btg_B_0,1,,,,,,,data,1btg_B,match,False,1btg_B_0
23,1byf_A,ZN,301,1byf_A_0,1,,,,,,,data,1byf_A,match,False,1byf_A_0
24,1byf_A,ZN,302,1byf_A_1,1,,,,,,,data,1byf_A,match,False,1byf_A_1
25,1byf_A,ZN,304,1byf_A_2,1,,,,,,,data,1byf_A,match,False,1byf_A_2
26,1cc3_A,CU,131,1cc3_A_0,2,CU,132,,,,,data,1cc3_A,match,False,1cc3_A_0
27,1cdo_A,ZN,377,1cdo_A_1,1,,,,,,,data,1cdo_A,match,False,1cdo_A_1
28,1cg2_A,ZN,503,1cg2_A_2,1,,,,,,,data,1cg2_A,match,False,1cg2_A_1
29,1cgf_B,ZN,302,1cgf_B_1,1,,,,,,,data,1cgf_B,match,False,1cgf_B_0
30,1chc_A,ZN,70,1chc_A_0,1,,,,,,,data,1chc_A,match,False,1chc_A_0
31,1chc_A,ZN,71,1chc_A_1,1,,,,,,,data,1chc_A,match,False,1chc_A_1
32,1ci3_M,ZN,256,1ci3_M_0,1,,,,,,,data,1ci3_M,match,False,1ci3_M_0
33,1ci3_M,ZN,257,1ci3_M_1,1,,,,,,,data,1ci3_M,match,False,1ci3_M_1
34,1cl4_A,ZN,81,1cl4_A_0,1,,,,,,,data,1cl4_A,match,False,1cl4_A_0
35,1cmc_A,MG,106,1cmc_A_0,1,,,,,,,data,1cmc_A,match,False,1cmc_A_0
36,1co4_A,ZN,43,1co4_A_0,1,,,,,,,data,1co4_A,match,False,1co4_A_0
37,1cpr_A,ZN,130,1cpr_A_0,1,,,,,,,data,1cpr_A,partial,False,1cpr_A_0
38,1cpr_A,ZN,131,1cpr_A_1,1,,,,,,,data,1cpr_A,partial,False,1cpr_A_1
39,1cpr_A,ZN,132,1cpr_A_2,1,,,,,,,data,1cpr_A,match,False,1cpr_A_2
40,1cuo_A,CU,130,1cuo_A_0,1,,,,,,,data,1cuo_A,match,False,1cuo_A_0
41,1cur_A,CU,156,1cur_A_0,1,,,,,,,data,1cur_A,match,False,1cur_A_0
42,1cvr_A,ZN,509,1cvr_A_1,1,,,,,,,data,1cvr_A,match,False,1cvr_A_1
43,1czf_A,ZN,501,1czf_A_0,1,,,,,,,data,1czf_A,match,False,1czf_A_0
44,1czf_A,ZN,503,1czf_A_2,1,,,,,,,data,1czf_A,match,False,1czf_A_1
45,1d1s_A,ZN,375,1d1s_A_0,1,,,,,,,data,1d1s_A,match,False,1d1s_A_0
46,1d1s_A,ZN,401,1d1s_A_2,1,,,,,,,data,1d1s_A,match,False,1d1s_A_2
47,1d1s_A,ZN,402,1d1s_A_3,1,,,,,,,data,1d1s_A,match,False,1d1s_A_3
48,1d4u_A,ZN,112,1d4u_A_0,1,,,,,,,data,1d4u_A,match,False,1d4u_A_0
